Organization ,pubs1990 ,pubs1991 ,pubs1992 ,pubs1993 ,pubs1994 ,pubs1995 ,pubs1996 ,pubs1997 ,pubs1998 ,pubs1999 ,pubs2000 ,pubs2001 ,pubs2002 ,pubs2003 ,pubs2004 ,pubs2005 ,pubs2006 ,pubs2007 ,pubs2008 ,pubs2009 ,pubs2010 ,pubs2011 ,pubs2012 ,pubs2013 ,pubs2014 ,pubs2015 ,pubs2016 ,pubs2017 ,pubs2018 
"Florida, U. of - Gainesville",2 ,4 ,1 ,2 ,2 ,2 ,4 ,4 ,1 ,2 ,5 ,2 ,4 ,2 ,1 ,2 ,2 ,4 ,1 ,0,6 ,5 ,4 ,2 ,1 ,1 ,3 ,1 ,2 
"Georgia, U. of - Athens",3 ,4 ,2 ,2 ,2 ,2 ,0,0,3 ,3 ,1 ,2 ,3 ,4 ,4 ,0,4 ,3 ,3 ,4 ,1 ,3 ,7 ,3 ,0,1 ,3 ,2 ,1 
Michigan State University,0,0,0,1 ,2 ,2 ,2 ,1 ,1 ,3 ,1 ,1 ,5 ,1 ,4 ,1 ,2 ,4 ,4 ,4 ,3 ,4 ,2 ,5 ,2 ,4 ,4 ,1 ,5 
Pennsylvania State University,1 ,1 ,1 ,2 ,2 ,0,3 ,3 ,4 ,5 ,3 ,1 ,3 ,2 ,6 ,1 ,0,8 ,2 ,1 ,4 ,1 ,0,4 ,1 ,4 ,1 ,4 ,1 
"Oxford, University of - U.K.",0,0,0,0,0,0,1 ,0,0,0,0,2 ,2 ,5 ,1 ,2 ,1 ,0,3 ,9 ,3 ,1 ,6 ,6 ,5 ,4 ,6 ,2 ,8 
Southern Methodist University,5 ,1 ,1 ,2 ,1 ,1 ,2 ,1 ,3 ,2 ,1 ,3 ,1 ,2 ,3 ,2 ,2 ,1 ,2 ,4 ,2 ,2 ,5 ,2 ,5 ,3 ,2 ,2 ,3 
Stockholm School of Economics,0,0,0,0,0,1 ,0,1 ,1 ,0,1 ,0,1 ,1 ,0,1 ,2 ,3 ,1 ,5 ,3 ,4 ,2 ,3 ,6 ,5 ,5 ,7 ,8 
Georgetown University,1 ,1 ,1 ,0,0,0,1 ,1 ,1 ,3 ,3 ,2 ,5 ,4 ,2 ,0,1 ,1 ,2 ,3 ,4 ,4 ,2 ,1 ,3 ,4 ,5 ,2 ,3 
HEC Paris,0,1 ,0,1 ,0,1 ,0,0,1 ,0,1 ,2 ,0,1 ,0,2 ,1 ,4 ,4 ,4 ,4 ,3 ,5 ,3 ,5 ,4 ,0,7 ,5 
Rice University,0,0,0,0,1 ,2 ,0,0,2 ,0,2 ,2 ,2 ,2 ,3 ,1 ,4 ,2 ,6 ,3 ,3 ,4 ,5 ,1 ,2 ,4 ,1 ,2 ,4 
"Wisconsin, U. of - Madison",1 ,1 ,3 ,2 ,5 ,1 ,1 ,1 ,1 ,1 ,2 ,2 ,0,0,5 ,3 ,4 ,3 ,2 ,1 ,3 ,3 ,1 ,0,0,1 ,1 ,8 ,2 
"California, U. of - Irvine",0,3 ,0,5 ,1 ,3 ,1 ,0,1 ,1 ,0,2 ,1 ,0,2 ,2 ,2 ,2 ,2 ,3 ,4 ,5 ,6 ,1 ,4 ,0,1 ,2 ,3 
Vanderbilt University - Nashville,3 ,2 ,2 ,0,4 ,0,2 ,3 ,2 ,5 ,3 ,2 ,1 ,0,2 ,3 ,1 ,1 ,2 ,5 ,2 ,1 ,4 ,2 ,1 ,3 ,1 ,0,0
"Iowa, University of",1 ,2 ,1 ,1 ,1 ,2 ,4 ,5 ,0,3 ,0,2 ,0,2 ,2 ,0,3 ,4 ,0,2 ,3 ,5 ,3 ,3 ,2 ,1 ,1 ,2 ,0
"Texas, U. of - Dallas",0,0,0,0,0,0,0,2 ,2 ,0,0,2 ,0,1 ,1 ,1 ,3 ,3 ,2 ,5 ,1 ,4 ,5 ,4 ,7 ,3 ,4 ,3 ,2 
"Arizona, University of",0,1 ,0,0,0,2 ,2 ,2 ,3 ,1 ,1 ,3 ,2 ,3 ,2 ,1 ,3 ,2 ,3 ,5 ,1 ,1 ,2 ,2 ,2 ,0,1 ,5 ,2 
"Houston, U. of - Houston",0,1 ,1 ,1 ,2 ,0,2 ,1 ,1 ,1 ,2 ,0,1 ,0,2 ,0,1 ,3 ,2 ,1 ,8 ,2 ,4 ,5 ,1 ,1 ,4 ,0,5 
Rutgers University,0,1 ,1 ,1 ,0,1 ,1 ,3 ,1 ,1 ,2 ,0,3 ,3 ,1 ,0,3 ,3 ,2 ,7 ,1 ,0,1 ,1 ,5 ,2 ,3 ,2 ,3 
McGill University,0,0,0,0,1 ,1 ,1 ,1 ,0,3 ,1 ,1 ,1 ,3 ,3 ,1 ,2 ,3 ,2 ,5 ,4 ,2 ,3 ,3 ,1 ,3 ,1 ,2 ,3 
Baruch College (CUNY),1 ,3 ,1 ,1 ,1 ,0,0,0,3 ,0,1 ,1 ,0,5 ,3 ,3 ,0,2 ,5 ,2 ,0,8 ,3 ,0,3 ,0,2 ,1 ,1 
"California, U. of - San Diego",2 ,0,0,1 ,2 ,1 ,0,0,0,1 ,2 ,0,0,0,0,0,1 ,3 ,4 ,1 ,4 ,2 ,4 ,6 ,3 ,5 ,1 ,2 ,4 
Tulane University,1 ,1 ,1 ,0,0,1 ,0,1 ,1 ,4 ,3 ,5 ,3 ,3 ,2 ,3 ,1 ,1 ,0,2 ,1 ,2 ,1 ,1 ,2 ,1 ,1 ,5 ,2 
Georgia State University,0,1 ,0,0,1 ,3 ,2 ,2 ,0,1 ,0,0,3 ,2 ,3 ,0,2 ,3 ,0,2 ,3 ,2 ,2 ,3 ,2 ,1 ,2 ,6 ,2 
Virginia Tech,4 ,0,3 ,1 ,4 ,1 ,0,2 ,2 ,2 ,2 ,3 ,1 ,2 ,3 ,2 ,1 ,1 ,1 ,0,2 ,1 ,2 ,0,1 ,1 ,4 ,0,2 
Texas A&M University,0,1 ,2 ,0,0,1 ,0,0,0,1 ,0,0,2 ,0,0,2 ,3 ,4 ,5 ,4 ,4 ,1 ,1 ,1 ,0,4 ,4 ,3 ,4 
Boston University,0,0,1 ,0,1 ,0,0,0,0,0,1 ,0,1 ,3 ,1 ,2 ,2 ,1 ,3 ,2 ,4 ,3 ,4 ,4 ,0,5 ,0,0,8 
"Hong Kong, U. of",0,0,0,0,0,0,1 ,1 ,0,0,0,0,0,0,1 ,0,1 ,1 ,0,1 ,2 ,0,3 ,9 ,4 ,4 ,8 ,4 ,5 
"California, U. of - Davis",0,0,2 ,0,0,0,1 ,2 ,4 ,1 ,3 ,2 ,2 ,0,0,0,1 ,3 ,1 ,3 ,2 ,2 ,3 ,5 ,2 ,1 ,3 ,1 ,0
Singapore Management University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,2 ,2 ,3 ,1 ,8 ,0,5 ,1 ,3 ,2 ,4 ,4 ,3 ,4 
Chinese University (Hong Kong),0,0,0,0,0,1 ,2 ,1 ,1 ,0,2 ,0,4 ,0,0,0,0,3 ,0,2 ,0,7 ,3 ,2 ,2 ,2 ,2 ,2 ,6 
Tel Aviv University,3 ,3 ,2 ,2 ,0,2 ,3 ,1 ,1 ,4 ,3 ,0,1 ,1 ,1 ,2 ,0,1 ,0,1 ,2 ,1 ,1 ,2 ,2 ,1 ,0,1 ,1 
"City, University of London (Cass Business School) ",0,0,0,0,0,2 ,1 ,0,0,0,1 ,0,1 ,0,0,1 ,0,0,1 ,0,0,3 ,4 ,4 ,5 ,7 ,5 ,4 ,2 
